Pavarde        Vardas         Galutinis (Vid.)    Galutinis (Med.)    
Pavarde412     Vardas412      7.97                8.00                
Pavarde413     Vardas413      6.87                7.40                
Pavarde414     Vardas414      4.23                3.80                
Pavarde415     Vardas415      3.20                3.20                
Pavarde416     Vardas416      5.35                5.40                
Pavarde417     Vardas417      6.00                6.80                
Pavarde418     Vardas418      3.71                4.40                
Pavarde419     Vardas419      5.92                6.00                
Pavarde420     Vardas420      6.96                7.20                
Pavarde421     Vardas421      7.01                6.80                
Pavarde422     Vardas422      2.84                3.00                
Pavarde423     Vardas423      7.73                7.20                
Pavarde424     Vardas424      3.33                3.60                
Pavarde425     Vardas425      5.65                5.60                
Pavarde426     Vardas426      3.39                4.00                
Pavarde427     Vardas427      8.24                8.40                
Pavarde428     Vardas428      2.65                2.60                
Pavarde429     Vardas429      3.21                3.80                
Pavarde430     Vardas430      5.65                5.20                
Pavarde431     Vardas431      5.48                5.00                
Pavarde432     Vardas432      4.09                3.80                
Pavarde433     Vardas433      8.21                8.40                
Pavarde434     Vardas434      2.65                2.60                
Pavarde435     Vardas435      6.17                5.40                
Pavarde436     Vardas436      6.49                6.60                
Pavarde437     Vardas437      6.63                7.00                
Pavarde438     Vardas438      4.61                4.40                
Pavarde439     Vardas439      5.05                5.40                
Pavarde440     Vardas440      6.37                6.40                
Pavarde441     Vardas441      6.77                6.80                
Pavarde442     Vardas442      7.79                7.60                
Pavarde443     Vardas443      3.57                3.60                
Pavarde444     Vardas444      8.08                8.40                
Pavarde445     Vardas445      3.00                2.60                
Pavarde446     Vardas446      4.72                4.80                
Pavarde447     Vardas447      4.59                4.40                
Pavarde448     Vardas448      5.67                5.80                
Pavarde449     Vardas449      5.12                5.60                
Pavarde450     Vardas450      7.48                7.40                
Pavarde451     Vardas451      8.27                8.40                
Pavarde452     Vardas452      7.97                8.00                
Pavarde453     Vardas453      8.48                8.40                
Pavarde454     Vardas454      4.44                4.60                
Pavarde455     Vardas455      6.88                6.40                
Pavarde456     Vardas456      3.11                3.40                
Pavarde457     Vardas457      4.60                5.00                
Pavarde458     Vardas458      3.72                3.80                
Pavarde459     Vardas459      3.91                3.80                
Pavarde460     Vardas460      3.61                3.40                
Pavarde461     Vardas461      3.12                2.80                
Pavarde462     Vardas462      4.56                4.40                
Pavarde463     Vardas463      7.76                7.60                
Pavarde464     Vardas464      4.04                3.80                
Pavarde465     Vardas465      7.88                8.20                
Pavarde466     Vardas466      7.67                7.80                
Pavarde467     Vardas467      4.69                5.20                
Pavarde468     Vardas468      7.21                7.00                
Pavarde469     Vardas469      8.40                8.80                
Pavarde470     Vardas470      6.33                6.20                
Pavarde471     Vardas471      4.51                4.80                
Pavarde472     Vardas472      6.41                6.60                
Pavarde473     Vardas473      8.45                8.40                
Pavarde474     Vardas474      6.00                6.00                
Pavarde475     Vardas475      8.40                8.80                
Pavarde476     Vardas476      3.03                3.40                
Pavarde477     Vardas477      5.21                5.40                
Pavarde478     Vardas478      2.97                3.00                
Pavarde479     Vardas479      3.28                3.60                
Pavarde480     Vardas480      3.25                3.20                
Pavarde481     Vardas481      5.40                5.40                
Pavarde482     Vardas482      7.12                7.60                
Pavarde483     Vardas483      5.79                6.00                
Pavarde484     Vardas484      8.05                8.40                
Pavarde485     Vardas485      8.12                8.60                
Pavarde486     Vardas486      5.08                5.00                
Pavarde487     Vardas487      8.13                8.00                
Pavarde488     Vardas488      5.61                6.20                
Pavarde489     Vardas489      5.68                5.20                
Pavarde490     Vardas490      4.09                4.20                
Pavarde491     Vardas491      6.63                6.60                
Pavarde492     Vardas492      5.27                5.00                
Pavarde493     Vardas493      5.89                6.00                
Pavarde494     Vardas494      2.87                2.60                
Pavarde495     Vardas495      5.40                5.80                
Pavarde496     Vardas496      5.48                5.40                
Pavarde497     Vardas497      3.16                3.40                
Pavarde498     Vardas498      8.00                8.00                
Pavarde499     Vardas499      5.36                5.20                
Pavarde500     Vardas500      8.09                8.60                
Pavarde501     Vardas501      6.03                6.40                
Pavarde502     Vardas502      7.15                7.20                
Pavarde503     Vardas503      7.56                7.40                
Pavarde504     Vardas504      2.52                2.60                
Pavarde505     Vardas505      6.81                7.00                
Pavarde506     Vardas506      3.80                3.80                
Pavarde507     Vardas507      8.37                8.40                
Pavarde508     Vardas508      5.20                4.80                
Pavarde509     Vardas509      4.72                4.40                
Pavarde510     Vardas510      6.75                6.80                
Pavarde511     Vardas511      7.92                8.00                
Pavarde512     Vardas512      8.00                8.00                
Pavarde513     Vardas513      4.93                5.20                
Pavarde514     Vardas514      6.75                6.40                
Pavarde515     Vardas515      4.23                4.60                
Pavarde516     Vardas516      5.79                5.60                
Pavarde517     Vardas517      6.17                5.80                
Pavarde518     Vardas518      4.51                5.20                
Pavarde519     Vardas519      3.35                3.40                
Pavarde520     Vardas520      6.68                7.00                
Pavarde521     Vardas521      3.63                4.00                
Pavarde522     Vardas522      6.23                6.60                
Pavarde523     Vardas523      8.40                8.80                
Pavarde524     Vardas524      5.36                5.60                
Pavarde525     Vardas525      8.37                8.40                
Pavarde526     Vardas526      5.76                5.60                
Pavarde527     Vardas527      6.19                6.40                
Pavarde528     Vardas528      6.72                6.40                
Pavarde529     Vardas529      5.71                5.60                
Pavarde530     Vardas530      5.48                5.40                
Pavarde531     Vardas531      2.83                2.80                
Pavarde532     Vardas532      4.21                4.00                
Pavarde533     Vardas533      6.41                6.60                
Pavarde534     Vardas534      6.93                6.80                
Pavarde535     Vardas535      6.31                6.20                
Pavarde536     Vardas536      7.81                7.60                
Pavarde537     Vardas537      2.31                2.20                
Pavarde538     Vardas538      3.12                2.80                
Pavarde539     Vardas539      8.37                8.40                
Pavarde540     Vardas540      8.45                8.80                
Pavarde541     Vardas541      5.53                5.80                
Pavarde542     Vardas542      7.97                8.00                
Pavarde543     Vardas543      5.16                5.00                
Pavarde544     Vardas544      4.87                4.60                
Pavarde545     Vardas545      2.63                2.20                
Pavarde546     Vardas546      4.25                4.20                
Pavarde547     Vardas547      6.77                6.40                
Pavarde548     Vardas548      4.41                4.20                
Pavarde549     Vardas549      3.85                3.00                
Pavarde550     Vardas550      6.31                6.60                
Pavarde551     Vardas551      6.05                6.00                
Pavarde552     Vardas552      4.15                4.20                
Pavarde553     Vardas553      3.63                4.00                
Pavarde554     Vardas554      5.71                5.20                
Pavarde555     Vardas555      7.77                7.80                
Pavarde556     Vardas556      2.57                2.20                
Pavarde557     Vardas557      7.56                7.80                
Pavarde558     Vardas558      2.60                2.60                
Pavarde559     Vardas559      6.41                6.20                
Pavarde560     Vardas560      8.29                8.40                
Pavarde561     Vardas561      7.60                7.60                
Pavarde562     Vardas562      6.25                6.60                
Pavarde563     Vardas563      7.37                7.40                
Pavarde564     Vardas564      3.23                3.20                
Pavarde565     Vardas565      4.36                4.60                
Pavarde566     Vardas566      2.41                2.20                
Pavarde567     Vardas567      3.28                3.20                
Pavarde568     Vardas568      6.52                6.20                
Pavarde569     Vardas569      5.29                5.40                
Pavarde570     Vardas570      8.53                8.80                
Pavarde571     Vardas571      4.85                5.20                
Pavarde572     Vardas572      6.96                6.40                
Pavarde573     Vardas573      7.48                7.40                
Pavarde574     Vardas574      2.88                2.40                
Pavarde575     Vardas575      8.19                8.40                
Pavarde576     Vardas576      8.13                8.00                
Pavarde577     Vardas577      4.48                4.40                
Pavarde578     Vardas578      5.67                5.80                
Pavarde579     Vardas579      7.15                7.20                
Pavarde580     Vardas580      3.56                3.00                
Pavarde581     Vardas581      5.05                4.60                
Pavarde582     Vardas582      3.20                3.20                
Pavarde583     Vardas583      3.36                3.60                
Pavarde584     Vardas584      7.31                7.20                
Pavarde585     Vardas585      4.93                5.20                
Pavarde586     Vardas586      4.67                4.80                
Pavarde587     Vardas587      8.04                8.60                
Pavarde588     Vardas588      2.77                2.80                
Pavarde589     Vardas589      8.00                8.40                
Pavarde590     Vardas590      6.25                5.40                
Pavarde591     Vardas591      5.88                5.80                
Pavarde592     Vardas592      3.56                3.40                
Pavarde593     Vardas593      5.47                5.20                
Pavarde594     Vardas594      3.41                3.20                
Pavarde595     Vardas595      3.47                4.00                
Pavarde596     Vardas596      5.29                5.00                
Pavarde597     Vardas597      5.07                5.20                
Pavarde598     Vardas598      4.37                4.80                
Pavarde599     Vardas599      2.63                2.60                
Pavarde600     Vardas600      4.95                5.00                
Pavarde601     Vardas601      5.12                5.60                
Pavarde602     Vardas602      4.17                4.20                
Pavarde603     Vardas603      6.25                5.80                
Pavarde604     Vardas604      5.87                5.60                
Pavarde605     Vardas605      4.13                4.00                
Pavarde606     Vardas606      7.29                7.00                
Pavarde607     Vardas607      7.25                7.20                
Pavarde608     Vardas608      5.55                5.60                
Pavarde609     Vardas609      4.53                4.00                
Pavarde610     Vardas610      5.08                4.60                
Pavarde611     Vardas611      7.61                7.40                
Pavarde612     Vardas612      3.83                3.40                
Pavarde613     Vardas613      8.04                8.60                
Pavarde614     Vardas614      4.43                4.40                
Pavarde615     Vardas615      4.25                3.80                
Pavarde616     Vardas616      5.55                5.60                
Pavarde617     Vardas617      7.56                7.40                
Pavarde618     Vardas618      4.15                4.20                
Pavarde619     Vardas619      3.79                3.60                
Pavarde620     Vardas620      5.55                5.20                
Pavarde621     Vardas621      3.28                3.20                
Pavarde622     Vardas622      7.04                6.80                
Pavarde623     Vardas623      7.12                7.60                
Pavarde624     Vardas624      8.12                8.20                
Pavarde625     Vardas625      3.25                3.20                
Pavarde626     Vardas626      8.43                8.00                
Pavarde627     Vardas627      4.59                4.40                
Pavarde628     Vardas628      5.27                5.40                
Pavarde629     Vardas629      5.13                5.00                
Pavarde630     Vardas630      8.69                8.40                
Pavarde631     Vardas631      2.84                3.00                
Pavarde632     Vardas632      4.07                4.20                
